name,description,price,default_spice_level,is_vegetarian,is_vegan,category,item_id
"Aloo Gobi","Cauliflower and potatoes with spices",12.99,3,true,true,"Subzian (Vegetable Dishes)","aloo_gobi"
"Tandoori Chicken","Chicken marinated in yogurt and spices",17.99,4,false,false,"Tandoori Pakwans","tandoori_chicken"
"Chicken Tikka","Boneless chicken pieces from tandoor",18.99,4,false,false,"Tandoori Pakwans","chicken_tikka"
"Seekh Kebab","Spiced ground lamb on skewers",19.99,5,false,false,"Tandoori Pakwans","seekh_kebab"
"Paneer Tikka","Grilled cottage cheese with vegetables",15.99,3,true,false,"Tandoori Pakwans","paneer_tikka"
"Plain Naan","Traditional leavened bread",3.99,1,true,false,"Fresh Tandoori Breads","naan"
"Garlic Naan","Naan with fresh garlic and cilantro",4.99,1,true,false,"Fresh Tandoori Breads","garlic_naan"
"Butter Naan","Naan brushed with butter",4.49,1,true,false,"Fresh Tandoori Breads","butter_naan"
"Cheese Naan","Naan stuffed with cheese",5.99,1,true,false,"Fresh Tandoori Breads","cheese_naan"
"Roti","Whole wheat flatbread",3.49,1,true,true,"Fresh Tandoori Breads","roti"
"Gulab Jamun (2 pieces)","Soft milk dumplings in rose flavored syrup",5.99,0,true,false,"Methai (Desserts)","gulab_jamun"
"Rasmalai (2 pieces)","Spongy cottage cheese patties in sweetened milk",6.99,0,true,false,"Methai (Desserts)","rasmalai"
"Rice Kheer","Traditional rice pudding with cardamom and nuts",5.99,0,true,false,"Methai (Desserts)","kheer"
"Kulfi","Traditional Indian ice cream with pistachios",5.99,0,true,false,"Methai (Desserts)","kulfi"
"Mango Lassi","Sweet yogurt drink blended with fresh mango",4.99,0,true,false,"Beverages","mango_lassi"
"Sweet Lassi","Traditional sweet yogurt drink",4.49,0,true,false,"Beverages","sweet_lassi"
"Masala Chai","Spiced tea with cardamom, ginger and cinnamon",3.99,2,true,false,"Beverages","masala_tea"
"Fresh Lime Soda","Fresh lime juice with soda water",4.99,0,true,true,"Beverages","fresh_lime_soda"
